Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net5, net5-10-10, 14, 3, 3, 0, 0, 0, 2, 2, 1

net5, net5-10-60, 1, 1000, 878, 122, 0, 0, -1, -1, -1
net5, net5-10-60, 2, 22, 21, 1, 0, 100, 71, 47, 91
net5, net5-10-60, 3, 8, 3, 5, 0, 93, 34, 35, 46
net5, net5-10-60, 4, 22, 21, 1, 0, 76, 12, 15, 23
net5, net5-10-60, 5, 43, 43, 0, 0, 34, 5, 10, 13
net5, net5-10-60, 6, 30, 30, 0, 0, 4, 2, 7, 4
net5, net5-10-60, 7, 4, 4, 0, 0, 0, 1, 4, 0

net5, net5-60-10, 1, 1000, 409, 591, 0, 0, -1, -1, -1
net5, net5-60-10, 2, 11, 6, 5, 0, 580, 71, 16, 122
net5, net5-60-10, 3, 11, 6, 5, 0, 574, 57, 15, 98
net5, net5-60-10, 4, 24, 15, 9, 0, 555, 44, 10, 86
net5, net5-60-10, 5, 28, 20, 8, 0, 536, 37, 13, 71
net5, net5-60-10, 6, 29, 20, 9, 0, 515, 27, 4, 61
net5, net5-60-10, 7, 46, 36, 10, 0, 478, 24, 4, 53
net5, net5-60-10, 8, 39, 29, 10, 0, 449, 21, 6, 44
net5, net5-60-10, 9, 65, 64, 1, 0, 394, 16, 4, 38
net5, net5-60-10, 10, 65, 59, 6, 0, 330, 14, 4, 32
net5, net5-60-10, 11, 127, 121, 6, 0, 209, 12, 9, 23
net5, net5-60-10, 12, 109, 108, 1, 0, 106, 6, 4, 14
net5, net5-60-10, 13, 77, 77, 0, 0, 30, 4, 8, 6
net5, net5-60-10, 14, 18, 18, 0, 0, 12, 2, 3, 2
net5, net5-60-10, 15, 12, 12, 0, 0, 0, 1, 4, 0

net5, net5-60-60, 1, 1000, 377, 623, 0, 0, -1, -1, -1
net5, net5-60-60, 2, 6, 5, 1, 0, 617, 71, 50, 88
net5, net5-60-60, 3, 21, 5, 16, 0, 597, 27, 30, 30
net5, net5-60-60, 4, 123, 110, 13, 0, 490, 11, 3, 16
net5, net5-60-60, 5, 89, 86, 3, 0, 414, 9, 2, 14
net5, net5-60-60, 6, 121, 121, 0, 0, 296, 8, 11, 9
net5, net5-60-60, 7, 272, 181, 0, 91, 24, 3, 13, 2
