Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net5, net5-10-10,12,7,7,0,0,0,2,12,2
,,,,,,,,,,
net5, net5-10-60,1,1000,878,122,0,0,-1,-1,-1
net5, net5-10-60,2,101,0,101,0,21,71,10,128
net5, net5-10-60,3,110,21,89,0,12,57,6,113
net5, net5-10-60,4,50,0,50,0,51,55,2,111
net5, net5-10-60,5,86,0,86,0,15,52,4,105
net5, net5-10-60,6,101,0,101,0,0,39,15,84
net5, net5-10-60,7,90,0,90,0,11,35,4,80
net5, net5-10-60,8,95,0,95,0,6,30,6,71
net5, net5-10-60,9,81,1,80,0,20,27,4,67
net5, net5-10-60,10,72,1,71,0,28,20,9,47
net5, net5-10-60,11,69,9,60,0,30,16,6,38
net5, net5-10-60,12,79,40,39,0,11,9,10,22
net5, net5-10-60,13,35,19,16,0,15,6,4,11
net5, net5-10-60,14,19,9,10,0,12,4,3,8
net5, net5-10-60,15,14,14,0,0,8,2,4,3
net5, net5-10-60,16,4,4,0,0,4,1,2,0
net5, net5-10-60,17,4,4,0,0,0,1,4,0
,,,,,,,,,,
net5, net5-60-10,1,1000,409,591,0,0,-1,-1,-1
net5, net5-60-10,2,188,0,188,0,403,71,2,136
net5, net5-60-10,3,176,2,174,0,415,68,4,131
net5, net5-60-10,4,342,9,333,0,247,64,6,121
net5, net5-60-10,5,153,2,151,0,427,62,2,119
net5, net5-60-10,6,67,4,63,0,511,61,2,117
net5, net5-60-10,7,375,11,364,0,199,51,10,104
net5, net5-60-10,8,358,18,340,0,205,40,15,85
net5, net5-60-10,9,323,43,280,0,222,31,9,62
net5, net5-60-10,10,124,23,101,0,378,29,2,59
net5, net5-60-10,11,128,27,101,0,351,26,4,48
net5, net5-60-10,12,301,97,204,0,151,18,10,33
net5, net5-60-10,13,118,56,62,0,237,16,3,30
net5, net5-60-10,14,49,21,28,0,250,15,1,29
net5, net5-60-10,15,78,46,32,0,200,13,2,27
net5, net5-60-10,16,78,61,17,0,154,11,2,23
net5, net5-60-10,17,33,9,24,0,138,10,1,22
net5, net5-60-10,18,43,39,4,0,119,9,3,17
net5, net5-60-10,19,66,62,4,0,57,4,7,8
net5, net5-60-10,20,34,32,2,0,27,2,5,3
net5, net5-60-10,21,7,7,0,0,22,2,2,3
net5, net5-60-10,22,16,16,0,0,6,1,6,0
net5, net5-60-10,23,6,6,0,0,0,1,6,0
