Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net2, net2-60-10, 5, 93, 1, 92, 0, 907, 71, 1, 137
net2, net2-60-10, 6, 102, 0, 102, 0, 898, 70, 1, 134
net2, net2-60-10, 7, 102, 0, 102, 0, 898, 69, 1, 130
net2, net2-60-10, 8, 81, 0, 81, 0, 919, 68, 1, 129
net2, net2-60-10, 9, 84, 0, 84, 0, 916, 67, 1, 127
net2, net2-60-10, 10, 74, 1, 73, 0, 926, 66, 1, 126
net2, net2-60-10, 11, 99, 0, 99, 0, 901, 65, 1, 124
net2, net2-60-10, 12, 81, 0, 81, 0, 919, 64, 1, 122
net2, net2-60-10, 13, 87, 2, 85, 0, 913, 63, 1, 121
net2, net2-60-10, 14, 61, 1, 60, 0, 939, 62, 1, 120
net2, net2-60-10, 15, 115, 1, 114, 0, 885, 60, 2, 118
net2, net2-60-10, 16, 78, 0, 78, 0, 922, 59, 1, 117
net2, net2-60-10, 17, 85, 10, 75, 0, 915, 58, 1, 116
net2, net2-60-10, 18, 48, 1, 47, 0, 952, 57, 1, 115
net2, net2-60-10, 19, 70, 1, 69, 0, 930, 56, 1, 114
net2, net2-60-10, 20, 77, 3, 74, 0, 923, 55, 1, 113
net2, net2-60-10, 21, 63, 4, 59, 0, 937, 54, 1, 112
net2, net2-60-10, 22, 53, 2, 51, 0, 947, 53, 1, 111
net2, net2-60-10, 23, 112, 9, 103, 0, 888, 51, 2, 106
net2, net2-60-10, 24, 52, 3, 49, 0, 948, 50, 1, 105
net2, net2-60-10, 25, 57, 4, 53, 0, 943, 49, 1, 104
net2, net2-60-10, 26, 83, 7, 76, 0, 917, 48, 1, 103
net2, net2-60-10, 27, 60, 5, 55, 0, 940, 47, 1, 101
net2, net2-60-10, 28, 56, 2, 54, 0, 944, 46, 1, 100
net2, net2-60-10, 29, 57, 4, 53, 0, 943, 45, 1, 99
net2, net2-60-10, 30, 70, 7, 63, 0, 930, 44, 1, 94
net2, net2-60-10, 31, 49, 5, 44, 0, 951, 43, 1, 89
net2, net2-60-10, 32, 77, 1, 76, 0, 923, 42, 1, 86
net2, net2-60-10, 33, 61, 9, 52, 0, 939, 41, 1, 85
net2, net2-60-10, 34, 49, 4, 45, 0, 951, 40, 1, 84
net2, net2-60-10, 35, 75, 12, 63, 0, 925, 39, 1, 82
net2, net2-60-10, 36, 56, 4, 52, 0, 944, 38, 1, 81
net2, net2-60-10, 37, 44, 2, 42, 0, 956, 37, 1, 80
net2, net2-60-10, 38, 55, 7, 48, 0, 945, 36, 1, 78
net2, net2-60-10, 39, 49, 5, 44, 0, 951, 35, 1, 77
net2, net2-60-10, 40, 79, 10, 69, 0, 921, 33, 2, 75
net2, net2-60-10, 41, 48, 3, 45, 0, 952, 32, 1, 74
net2, net2-60-10, 42, 42, 13, 29, 0, 958, 31, 1, 72
net2, net2-60-10, 43, 41, 9, 32, 0, 959, 30, 1, 70
net2, net2-60-10, 44, 40, 7, 33, 0, 960, 29, 1, 69
net2, net2-60-10, 45, 37, 4, 33, 0, 963, 28, 1, 68
net2, net2-60-10, 46, 61, 4, 57, 0, 939, 27, 1, 64
net2, net2-60-10, 47, 64, 2, 62, 0, 936, 26, 1, 63
net2, net2-60-10, 48, 67, 15, 52, 0, 933, 25, 1, 62
net2, net2-60-10, 49, 44, 17, 27, 0, 956, 24, 1, 59
net2, net2-60-10, 50, 30, 0, 30, 0, 970, 23, 1, 58
net2, net2-60-10, 51, 54, 13, 41, 0, 946, 22, 1, 57
net2, net2-60-10, 52, 36, 17, 19, 0, 964, 21, 1, 54
net2, net2-60-10, 53, 32, 23, 9, 0, 968, 20, 1, 51
net2, net2-60-10, 54, 35, 7, 28, 0, 965, 19, 1, 50
net2, net2-60-10, 55, 35, 6, 29, 0, 965, 18, 1, 49
net2, net2-60-10, 56, 33, 15, 18, 0, 967, 17, 1, 48
net2, net2-60-10, 57, 23, 11, 12, 0, 977, 16, 1, 44
net2, net2-60-10, 58, 59, 38, 21, 0, 941, 14, 2, 37
